plik;ext;bytes;text_chars;relevant_name
RIN.271.1.1.2026 Kogutek/0 Wniosek o wszczęcie postępowania - KOGUTEK 2026.docx;.docx;24213;7834;True
RIN.271.1.1.2026 Kogutek/1 UMOWA z Gminą Rymanów - projekt.odt;.odt;14947;0;True
RIN.271.1.1.2026 Kogutek/2 KOGUTEK zadania - finansowanie - ZAŁACZNIK Nr 1 do wniosku o wszczecie postępowania.docx;.docx;21254;2725;False
RIN.271.1.1.2026 Kogutek/Informacja BIP art.214 ust 1 pkt 13  rok 2026.docx;.docx;44767;7155;True
RIN.271.1.1.2026 Kogutek/Informacja BIP art.214 ust 1 pkt 13.docx;.docx;44646;7164;True
RIN.271.1.1.2026 Kogutek/Informacja o udzieleniu zamówienia na podstawie art 305 pkt 1 uPzp.pdf;.pdf;2699143;3;True
RIN.271.1.1.2026 Kogutek/na strone Informacja BIP art.214 ust 1 pkt 13.docx;.docx;95482;7146;True
RIN.271.1.1.2026 Kogutek/ogł 08de4e9c-3290-2484-47ec-270001f66305.pdf;.pdf;53805;6114;False
RIN.271.1.1.2026 Kogutek/ogł o wyniku postępowania 08de6228-f2dd-011a-bbe7-1e0001c431cc.pdf;.pdf;62756;7349;True
RIN.271.1.1.2026 Kogutek/ogł o zm ogł 08de4eb4-a739-4e56-47ec-270001f67123.pdf;.pdf;41700;5317;False
RIN.271.1.1.2026 Kogutek/wniosek.pdf;.pdf;6074491;9;True
