plik;ext;bytes;text_chars;relevant_name
RIN.271.1.10.2026 Drogi moder 2/Otwarrcciiee/1_Protokół w tr podst  drogi cz1 cz2.docx;.docx;46370;32118;True
RIN.271.1.10.2026 Drogi moder 2/Otwarrcciiee/2_art 56 ust 3 oświad w przed dniem otwarcia ofert.docx;.docx;17138;7095;True
RIN.271.1.10.2026 Drogi moder 2/Otwarrcciiee/3_Info o kwocie dr cz1.cz2.docx;.docx;93088;1237;True
RIN.271.1.10.2026 Drogi moder 2/Otwarrcciiee/3_Infoa z OTWARCIA dr cz 1 cz 2.docx;.docx;92781;2653;True
RIN.271.1.10.2026 Drogi moder 2/Otwarrcciiee/4_Info - wybór oferty RIN.271.1.10.2026 drogi.docx;.docx;98911;4082;True
RIN.271.1.10.2026 Drogi moder 2/Otwarrcciiee/4_Wezwanie - do złożenia oświadczeń dr cz1.docx;.docx;94246;3497;True
RIN.271.1.10.2026 Drogi moder 2/Otwarrcciiee/4_Wezwanie - do złożenia oświadczeń dr cz2.docx;.docx;94391;3441;True
RIN.271.1.10.2026 Drogi moder 2/Otwarrcciiee/5_DYSP ZWROTU WADIUM dr cz1 cz2.docx;.docx;39901;9508;True
RIN.271.1.10.2026 Drogi moder 2/Otwarrcciiee/Informacja o kwocie dr cz1 cz2.pdf;.pdf;549299;1;True
RIN.271.1.10.2026 Drogi moder 2/Otwarrcciiee/Informacja o wyborze oferty modern drog et.2.pdf;.pdf;2336162;4;True
RIN.271.1.10.2026 Drogi moder 2/Otwarrcciiee/Informacja_z_otwarcia_ofert (30).docx;.docx;40657;1597;True
RIN.271.1.10.2026 Drogi moder 2/Otwarrcciiee/Raport_z_przebiegu_otwarcia_ofert (25) (1).pdf;.pdf;180217;18753;True
RIN.271.1.10.2026 Drogi moder 2/Otwarrcciiee/Roboczy_plik_xml (1).xml;.xml;7383;7332;True
RIN.271.1.10.2026 Drogi moder 2/Otwarrcciiee/informacja z otwarcia ofert dr cz1 cz2.pdf;.pdf;1154879;2;True
RIN.271.1.10.2026 Drogi moder 2/Otwarrcciiee/informacja_do_prezesa.xml;.xml;11578;11515;True
RIN.271.1.10.2026 Drogi moder 2/Otwarrcciiee/kryterium cz1 cz2.xlsx;.xlsx;25782;3754;True
RIN.271.1.10.2026 Drogi moder 2/Otwarrcciiee/pot wysłania do Wyk info wyb 08df12ed-62c9-87a7-f222-b00001ff71bc-wiadomosc (1).pdf;.pdf;34601;1546;True
RIN.271.1.10.2026 Drogi moder 2/SWZ drogi 2 częsci.docx;.docx;103453;80203;True
RIN.271.1.10.2026 Drogi moder 2/_umowaCz1Cz2/F-KR50-EG-0012124-GU-1_Gwarancja_należytego_wykonania_umowy_i_usunięcia_wad_lub_usterek_Q21Q22_20260916.docx;.docx;36493;4365;True
RIN.271.1.10.2026 Drogi moder 2/_umowaCz1Cz2/art 56 ust 2 oświad w przed podpisniem umowy drogi.docx;.docx;17917;10855;True
RIN.271.1.10.2026 Drogi moder 2/_umowaCz1Cz2/cz1 umowa RIN.272.1.10.2026 modrern dr.docx;.docx;90977;67725;True
RIN.271.1.10.2026 Drogi moder 2/_umowaCz1Cz2/cz2 umowa RIN.272.1.10.2026 modrern dr.docx;.docx;90799;67732;True
RIN.271.1.10.2026 Drogi moder 2/_umowaCz1Cz2/draft cz1/Dane do umowy.docx;.docx;15054;1884;True
RIN.271.1.10.2026 Drogi moder 2/_umowaCz1Cz2/draft cz1/Draft gwarancji_1789585782534S00GWA.pdf;.pdf;72936;9394;True
RIN.271.1.10.2026 Drogi moder 2/_umowaCz1Cz2/draft cz1/cz1 gwar harm koszt/Gwarancja_920070132354 (1).pdf;.pdf;260682;9399;True
RIN.271.1.10.2026 Drogi moder 2/_umowaCz1Cz2/draft cz1/cz1 gwar harm koszt/Harmonogram - Posada Górna-sig.pdf;.pdf;637581;4704;True
RIN.271.1.10.2026 Drogi moder 2/_umowaCz1Cz2/draft cz1/cz1 gwar harm koszt/Harmonogram - Wróblik Królewski-sig.pdf;.pdf;646913;5013;True
RIN.271.1.10.2026 Drogi moder 2/_umowaCz1Cz2/draft cz1/cz1 gwar harm koszt/Kosztorys ofertowy - Posada Górna-sig.pdf;.pdf;684370;4345;True
RIN.271.1.10.2026 Drogi moder 2/_umowaCz1Cz2/draft cz1/cz1 gwar harm koszt/Kosztorys ofertowy - Wróblik Królewski-sig.pdf;.pdf;599617;4780;True
RIN.271.1.10.2026 Drogi moder 2/_umowaCz1Cz2/draftcz2/Gwarancja 698100006016 WesoĊ_owski (1).pdf;.pdf;519032;4793;True
RIN.271.1.10.2026 Drogi moder 2/ogłoszenie cz1cz2 drogi 08df1958-ef4b-6b3b-b7e0-6500014aa1d1.pdf;.pdf;51718;8281;True
RIN.271.1.10.2026 Drogi moder 2/wadium/WADIUM DROGBUD.pdf;.pdf;1001106;2222;True
RIN.271.1.10.2026 Drogi moder 2/wadium/strabag.pdf;.pdf;1000099;2213;True
RIN.271.1.10.2026 Drogi moder 2/wadium/wadium Rejon.pdf;.pdf;998637;2187;True
RIN.271.1.10.2026 Drogi moder 2/wniosek powyżej 170tyś.docx;.docx;26927;4770;True
