plik;ext;bytes;text_chars;relevant_name
RIN.271.1.11.2026 Elewacja BG/SWZ elewacja BGR.docx;.docx;102367;78731;True
RIN.271.1.11.2026 Elewacja BG/Wniosek PZP - elewacja.docx;.docx;23258;5853;True
RIN.271.1.11.2026 Elewacja BG/otwarciiieee/1_Protokół w tr podst elewacje.docx;.docx;44206;29591;True
RIN.271.1.11.2026 Elewacja BG/otwarciiieee/2_art 56 ust 3 oświad w przed dniem otwarcia ofert.docx;.docx;17125;6961;True
RIN.271.1.11.2026 Elewacja BG/otwarciiieee/3_Info o kwocie.docx;.docx;92732;881;True
RIN.271.1.11.2026 Elewacja BG/otwarciiieee/3_Infoa z OTWARCIA elewacjaBG.docx;.docx;91395;1349;True
RIN.271.1.11.2026 Elewacja BG/otwarciiieee/4_Info - wybór oferty RIN.271.1.11.2026 elew.docx;.docx;94743;1662;True
RIN.271.1.11.2026 Elewacja BG/otwarciiieee/4_Wezwanie - do złożenia oświadczeń elew BG.docx;.docx;93604;2400;True
RIN.271.1.11.2026 Elewacja BG/otwarciiieee/5_DYSP ZWROTU WADIUM elewacja.docx;.docx;19715;2041;True
RIN.271.1.11.2026 Elewacja BG/otwarciiieee/Informacja o wyborze oferty elewac.pdf;.pdf;941095;2;True
RIN.271.1.11.2026 Elewacja BG/otwarciiieee/Informacja z otwarcia elewacja BG.pdf;.pdf;577758;1;True
RIN.271.1.11.2026 Elewacja BG/otwarciiieee/Raport_z_przebiegu_otwarcia_ofert (26).pdf;.pdf;59520;7811;True
RIN.271.1.11.2026 Elewacja BG/otwarciiieee/Roboczy_plik_xml (1).xml;.xml;4276;4259;True
RIN.271.1.11.2026 Elewacja BG/otwarciiieee/art 56 ust 2 oświad w przed podpisniem umowy.docx;.docx;17886;10777;True
RIN.271.1.11.2026 Elewacja BG/otwarciiieee/info o wyb 08df17d1-4548-85a0-f222-b00001027c3b-wiadomosc.pdf;.pdf;36521;1050;True
RIN.271.1.11.2026 Elewacja BG/otwarciiieee/informacja o kwocie remBG.pdf;.pdf;463599;1;True
RIN.271.1.11.2026 Elewacja BG/otwarciiieee/informacja_do_prezesa.xml;.xml;5794;5776;True
RIN.271.1.11.2026 Elewacja BG/otwarciiieee/kryteria ofert.xlsx;.xlsx;19825;1515;True
RIN.271.1.11.2026 Elewacja BG/otwarciiieee/odpNaWezwa/08df17b3-c2dd-e22a-f222-b000010234fe-wiadomosc.pdf;.pdf;34593;1466;True
RIN.271.1.11.2026 Elewacja BG/otwarciiieee/odpNaWezwa/Odpis_Aktualny_KRS_0000785071 (1).pdf;.pdf;43134;17965;True
RIN.271.1.11.2026 Elewacja BG/otwarciiieee/odpNaWezwa/Zał nr 3 do SWZ oświadczenie o grupie kapitałowej (5).pdf;.pdf;360187;2857;True
RIN.271.1.11.2026 Elewacja BG/otwarciiieee/odpNaWezwa/Zał nr 5-B wykaz osób do SWZ (4).pdf;.pdf;310745;2980;True
RIN.271.1.11.2026 Elewacja BG/otwarciiieee/offerty/1/ocds-148610-f5b29cbc-577d-4b20-b6dd-0f2bb505d0ba_114189_01_01.zip;.zip;1429240;0;True
RIN.271.1.11.2026 Elewacja BG/otwarciiieee/offerty/2/ocds-148610-f5b29cbc-577d-4b20-b6dd-0f2bb505d0ba_48506_01_01.zip;.zip;473559;0;True
RIN.271.1.11.2026 Elewacja BG/otwarciiieee/potw wys wezwania 08df13c1-049b-4f0d-f222-b00001003017-wiadomosc.pdf;.pdf;36506;980;True
RIN.271.1.11.2026 Elewacja BG/otwarciiieee/wezwanie do złożenia podm śr dow MajsterBud.pdf;.pdf;1071697;2;True
RIN.271.1.11.2026 Elewacja BG/wadiumm/wadium elewacja.pdf;.pdf;999589;2215;True
