plik;ext;bytes;text_chars;relevant_name
RIN.271.1.13.2026 transp Odpad/KOMISJA Z A R Z Ą D Z E N I E NR odp.docx;.docx;17964;1251;False
RIN.271.1.13.2026 transp Odpad/SWZ_odbór_odp_pszok.docx;.docx;65835;54808;True
RIN.271.1.13.2026 transp Odpad/SWZ_odpPszok/Dane.txt;.txt;0;0;True
RIN.271.1.13.2026 transp Odpad/SWZ_odpPszok/SWZ_odbór_odp_pszok.txt;.txt;43342;41281;True
RIN.271.1.13.2026 transp Odpad/SWZ_odpPszok/Szacunek.xlsx;.xlsx;11319;403;True
RIN.271.1.13.2026 transp Odpad/SWZ_odpPszok/Umowa Załącznik nr 4 do SWZ.txt;.txt;41567;39417;True
RIN.271.1.13.2026 transp Odpad/SWZ_odpPszok/Wniosek.docx;.docx;40812;18095;True
RIN.271.1.13.2026 transp Odpad/SWZ_odpPszok/ZAŁĄCZNIK NR 2 DO SWZ.docx;.docx;17397;2447;True
RIN.271.1.13.2026 transp Odpad/SWZ_odpPszok/ZAŁĄCZNIK NR 6 DO SWZ - ośw odbiór odp kom od mieszkaniec.docx;.docx;17321;2450;True
RIN.271.1.13.2026 transp Odpad/doPublikacji/SWZ_odbOdpKomPszok.pdf;.pdf;16429169;19;True
RIN.271.1.13.2026 transp Odpad/doPublikacji/ZAŁĄCZNIK NR 2 DO SWZ - oświadczenie art 125 uPzp.docx;.docx;17909;2444;True
RIN.271.1.13.2026 transp Odpad/doPublikacji/ZAŁĄCZNIK NR 3 DO SWZ - oświadczenie o grupie kapitałowej.docx;.docx;15369;1728;True
RIN.271.1.13.2026 transp Odpad/doPublikacji/ZAŁĄCZNIK NR 4 do SWZ – Projektowane postanowienia umowy.docx;.docx;55218;38258;True
RIN.271.1.13.2026 transp Odpad/doPublikacji/ZAŁĄCZNIK NR 5 do SWZ - OPZ.docx;.docx;3188686;10585;True
RIN.271.1.13.2026 transp Odpad/doPublikacji/ZAŁĄCZNIK NR 6 DO SWZ - ośw odbiór odp z Pszok.docx;.docx;16615;1313;True
RIN.271.1.13.2026 transp Odpad/doPublikacji/Załącznik nr 1a do SWZ - Formularzu kalkulacji ceny ofertowej.xls;.xls;40448;0;True
RIN.271.1.13.2026 transp Odpad/doPublikacji/ogłoszenie_08df189a-6e6e-44ba-b7e0-6500014a966a.pdf;.pdf;80072;27515;True
