plik;ext;bytes;text_chars;relevant_name
RIN.271.1.2.2026 Woda Bzianka/1_Protokół w tr podst wB1.docx;.docx;45950;32015;True
RIN.271.1.2.2026 Woda Bzianka/Pytania/1_Pytania i udzielone odpowiedzi wB1.docx;.docx;95015;4724;True
RIN.271.1.2.2026 Woda Bzianka/Pytania/2_Pytania i udzielone odpowiedzi wB1.docx;.docx;93042;2675;True
RIN.271.1.2.2026 Woda Bzianka/Pytania/Pyt 1/08de9c7f-b9b7-17ea-d377-8b000110e8e9-wiadomosc.pdf;.pdf;36552;918;False
RIN.271.1.2.2026 Woda Bzianka/Pytania/Pyt 1/1_Pytania i udzielone odpowiedzi.pdf;.pdf;2125236;3;True
RIN.271.1.2.2026 Woda Bzianka/Pytania/Pyt 1/Pytania do Zamawiającego z dnia 17.04.2026-sig.pdf;.pdf;1962209;3345;False
RIN.271.1.2.2026 Woda Bzianka/Pytania/Pyt 1/odpowiedzi na pytania PRID.docx;.docx;15058;1629;True
RIN.271.1.2.2026 Woda Bzianka/Pytania/Pyt 2/08dea115-2e9a-ed51-d377-8b000113ad4d-wiadomosc.pdf;.pdf;36894;1152;False
RIN.271.1.2.2026 Woda Bzianka/Pytania/Pyt 2/2_Pytania i udzielone odpowiedzi.pdf;.pdf;1184013;2;True
RIN.271.1.2.2026 Woda Bzianka/Pytania/Pyt 2/RYMANÓW.pdf;.pdf;410206;1;False
RIN.271.1.2.2026 Woda Bzianka/SWZ woda Bzianka.docx;.docx;103205;80132;True
RIN.271.1.2.2026 Woda Bzianka/ogł o wyn post umowa08deb564-5e21-a295-4b6e-b7000122cfb6.pdf;.pdf;68038;7631;True
RIN.271.1.2.2026 Woda Bzianka/otwarccciee/2_art 56 ust 3 oświad w przed dniem otwarcia ofert.docx;.docx;17050;7004;True
RIN.271.1.2.2026 Woda Bzianka/otwarccciee/3_Info o kwocie.docx;.docx;88518;861;True
RIN.271.1.2.2026 Woda Bzianka/otwarccciee/3_Infoa z OTWARCIA wB1.docx;.docx;93761;3700;True
RIN.271.1.2.2026 Woda Bzianka/otwarccciee/4_Info - wybór oferty RIN.271.1.2.2026 w bzianka.docx;.docx;96783;3116;True
RIN.271.1.2.2026 Woda Bzianka/otwarccciee/4_Wezwanie - do złożenia oświadczeń wB1.docx;.docx;95711;3348;True
RIN.271.1.2.2026 Woda Bzianka/otwarccciee/Informacja o kwocie wB1.pdf;.pdf;451407;1;True
RIN.271.1.2.2026 Woda Bzianka/otwarccciee/Informacja o wyborze oferty wB1.pdf;.pdf;1883159;3;True
RIN.271.1.2.2026 Woda Bzianka/otwarccciee/Informacja z otwarcia ofert wB1.pdf;.pdf;1375096;2;True
RIN.271.1.2.2026 Woda Bzianka/otwarccciee/Roboczy_plik_xml.xml;.xml;8834;8764;True
RIN.271.1.2.2026 Woda Bzianka/otwarccciee/inf do prezesa 08dea44f-5c89-9d53-d377-8b00011579c7-wiadomosc.pdf;.pdf;36302;919;True
RIN.271.1.2.2026 Woda Bzianka/otwarccciee/informacja_do_prezesa.xml;.xml;10249;10170;True
RIN.271.1.2.2026 Woda Bzianka/otwarccciee/odp na wezwanie ROLWOD/08dea4f5-526d-32e6-d377-8b000115e559-wiadomosc.pdf;.pdf;39466;1951;True
RIN.271.1.2.2026 Woda Bzianka/otwarccciee/odp na wezwanie ROLWOD/Odpis_Aktualny_KRS_0000157037-16.pdf;.pdf;218601;20587;True
RIN.271.1.2.2026 Woda Bzianka/otwarccciee/odp na wezwanie ROLWOD/Polisa OC.pdf;.pdf;653798;2;True
RIN.271.1.2.2026 Woda Bzianka/otwarccciee/odp na wezwanie ROLWOD/Referencje Zał nr 4-B - wykaz robót do SWZ.pdf;.pdf;455802;1;True
RIN.271.1.2.2026 Woda Bzianka/otwarccciee/odp na wezwanie ROLWOD/Uprawnienia Marcin Bal Zał nr 5-B wykaz osób do SWZ (1).pdf;.pdf;737386;3;True
RIN.271.1.2.2026 Woda Bzianka/otwarccciee/odp na wezwanie ROLWOD/Zał nr 3 do SWZ oświadczenie o grupie kapitałowej (1).pdf;.pdf;326186;2446;True
RIN.271.1.2.2026 Woda Bzianka/otwarccciee/odp na wezwanie ROLWOD/Zał nr 4-B - wykaz robót do SWZ (1).pdf;.pdf;326915;2946;True
RIN.271.1.2.2026 Woda Bzianka/otwarccciee/odp na wezwanie ROLWOD/Zał nr 5-B wykaz osób do SWZ (1).pdf;.pdf;286394;3787;True
RIN.271.1.2.2026 Woda Bzianka/otwarccciee/potw wezwania 08dea454-b0e6-ceab-d377-8b00011588ee-wiadomosc.pdf;.pdf;37840;1315;True
RIN.271.1.2.2026 Woda Bzianka/otwarccciee/wezwanie do złożenia dokumentów wB1.pdf;.pdf;1413701;2;True
RIN.271.1.2.2026 Woda Bzianka/otwarccciee/wysł wiad wybór oferty 08dea9d2-6c25-7204-d377-8b000118aaba-wiadomosc.pdf;.pdf;42112;2680;True
RIN.271.1.2.2026 Woda Bzianka/otwarccciee/~$Info o kwocie.docx;.docx;162;35;True
RIN.271.1.2.2026 Woda Bzianka/ranking ofert.xlsx;.xlsx;19722;3653;True
RIN.271.1.2.2026 Woda Bzianka/umowa wzór.docx;.docx;90057;70033;True
RIN.271.1.2.2026 Woda Bzianka/umowaPoKorekcie/Harmonogram_rzeczowo finansowy Bzianka.pdf;.pdf;79961;2386;True
RIN.271.1.2.2026 Woda Bzianka/umowaPoKorekcie/Polisa OC PZU 2026 27.pdf;.pdf;1095714;2;True
RIN.271.1.2.2026 Woda Bzianka/umowaPoKorekcie/RIN.272.1.2.2026 Rolwod woda Bzianka1.docx;.docx;89953;67531;True
RIN.271.1.2.2026 Woda Bzianka/umowaPoKorekcie/art 56 ust 2 oświad w przed podpisniem umowy.docx;.docx;17899;10816;True
RIN.271.1.2.2026 Woda Bzianka/wadium/5_DYSP ZWROTU WADIUM Głowik.docx;.docx;25556;4238;True
RIN.271.1.2.2026 Woda Bzianka/wadium/DYSPOZYCJA ZALICZENIA WADIUM do zabezpieczenia Rolwod.docx;.docx;16386;899;True
RIN.271.1.2.2026 Woda Bzianka/wadium/RIN 272.1.2.2026 Prośba o zaliczenie wadium m. Bzianka-2.pdf;.pdf;221921;1233;True
RIN.271.1.2.2026 Woda Bzianka/wadium/wadium Głowik.pdf;.pdf;378994;2332;True
RIN.271.1.2.2026 Woda Bzianka/wadium/wadium PRID.pdf;.pdf;379353;2341;True
RIN.271.1.2.2026 Woda Bzianka/wadium/wadium ROOLWOD.pdf;.pdf;379484;2330;True
