plik;ext;bytes;text_chars;relevant_name
RIN.271.1.3.2026 dach gminy/1_Protokół w tr podst dGR.docx;.docx;47374;34327;True
RIN.271.1.3.2026 dach gminy/Pytania/08dea5dc-547c-fa80-d377-8b000116fb27-wiadomosc.pdf;.pdf;32238;871;False
RIN.271.1.3.2026 dach gminy/Pytania/1_Pytania i udzielone odpowiedzi dachGR.docx;.docx;92578;1888;True
RIN.271.1.3.2026 dach gminy/Pytania/1_Pytania i udzielone odpowiedzi dachGR.pdf;.pdf;684425;1;True
RIN.271.1.3.2026 dach gminy/Pytania/Re  Fwd  Pytania do przetargu - t.rzeszut@poczta.fm - 2026-05-04 2326.eml;.eml;27303;0;False
RIN.271.1.3.2026 dach gminy/Pytania/Zapytanie - Rymanów dach.pdf;.pdf;274682;1;False
RIN.271.1.3.2026 dach gminy/Rankin ofert.xlsx;.xlsx;20138;2658;True
RIN.271.1.3.2026 dach gminy/SWZ remont dachu bud gminy Rymanów.docx;.docx;102878;78688;True
RIN.271.1.3.2026 dach gminy/Wniosek PZP - dach.docx;.docx;22497;5218;True
RIN.271.1.3.2026 dach gminy/ogło o wykonaniu umowy 08def91a-297c-8b04-68d1-700001d6a72d.pdf;.pdf;40501;4658;True
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/08deac25-e69f-9420-d377-8b00011ae113-wiadomosc.pdf;.pdf;32934;896;False
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/2_art 56 ust 3 oświad w przed dniem otwarcia ofert dach.docx;.docx;17033;6945;True
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/3_Info o kwocie dach.docx;.docx;88546;850;False
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/3_Infoa z OTWARCIA dGR.docx;.docx;93247;3181;True
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/4_Info - wybór oferty RIN.271.1.3.2026.docx;.docx;101371;7522;True
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/Informacja o kwocie dGR.pdf;.pdf;440232;1;True
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/Informacja o odrzuceniu ofert oraz wyborze oferty.pdf;.pdf;3145317;5;True
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/Informacja z otwarcia ofert dGR.pdf;.pdf;1378530;2;True
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/Raport_z_przebiegu_otwarcia_ofert (19).pdf;.pdf;93777;25252;True
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/Roboczy_plik_xml.xml;.xml;4286;4262;False
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/informacja_do_prezesa.xml;.xml;9372;9301;True
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/offertyy/Rażąco niska cena/08deb01f-d49b-a988-d377-8b00011d5d14-wiadomosc.pdf;.pdf;34087;1100;False
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/offertyy/Rażąco niska cena/16_wezwanie r_n_c do ATMC Kraków.docx;.docx;94804;5805;True
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/offertyy/Rażąco niska cena/Notatka RNC 8 ofert.docx;.docx;19442;1954;True
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/offertyy/Rażąco niska cena/Notatka.docx;.docx;19143;1952;False
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/offertyy/Rażąco niska cena/wezwanie do złożenia wyjaśnień RNC AMTC.pdf;.pdf;1996123;2;True
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/offertyy/Uzasadnienie faktyczne.docx;.docx;17433;3770;False
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/offertyy/wezw do uzupeł/AMTC08deac22-fd8e-2203-d377-8b00011ad945-wiadomosc.pdf;.pdf;37659;1173;True
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/offertyy/wezw do uzupeł/domar08deac23-36e6-7c75-d377-8b00011ad9d5-wiadomosc.pdf;.pdf;37371;1144;True
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/offertyy/wezw do uzupeł/odpAMTC/08deb00c-58d1-e5e7-d377-8b00011d2879-wiadomosc.pdf;.pdf;37566;1070;True
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/offertyy/wezw do uzupeł/odpAMTC/Raport_Weryfikacja_podpisu_20260512120232370.pdf;.pdf;352171;2399;True
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/offertyy/wezw do uzupeł/odpAMTC/Zał nr 2 do SWZ oswiadczenia-wykonawcy-wykonawcow-z-art-125-ust-1-ustawy-Pzp.pdf;.pdf;999962;7850;True
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/offertyy/wezw do uzupeł/wezwanie do uzupełnienia AMTC.docx;.docx;88856;1471;True
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/offertyy/wezw do uzupeł/wezwanie do uzupełnienia Domar.docx;.docx;88850;1446;True
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/offertyy/wezw do uzupeł/wezwanie do uzupełnienia.docx;.docx;88874;1447;True
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/offertyy/wezw do uzupeł/wezwanie do uzupełnienie AMTC.pdf;.pdf;686147;1;True
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/offertyy/wezw do uzupeł/wezwanie do uzupełnienie Domar.pdf;.pdf;637978;1;True
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/offertyy/wezw do złożenia ośw/4_Wezwanie - do złożenia oświadczeń dGR ABE.docx;.docx;95050;2345;True
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/offertyy/wezw do złożenia ośw/4_Wezwanie - do złożenia oświadczeń dGR.docx;.docx;94625;2336;True
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/offertyy/wezw do złożenia ośw/odp na wezw/08deb75c-9687-8b84-d377-8b000122e36a-wiadomosc.pdf;.pdf;33756;1179;False
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/offertyy/wezw do złożenia ośw/odp na wezw/Raport_20260522081424389.pdf;.pdf;75876;7376;False
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/offertyy/wezw do złożenia ośw/odp na wezw/Zał nr 3 do SWZ oświadczenie o grupie kapitałowej (2).pdf;.pdf;429163;2306;True
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/offertyy/wezw do złożenia ośw/odp na wezw/Zał nr 5-B wykaz osób do SWZ (2).pdf;.pdf;390248;3032;True
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/offertyy/wezw do złożenia ośw/odp na wezw/Zaświadczenie o wpisie.pdf;.pdf;140999;6120;False
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/offertyy/wezw do złożenia ośw/potw wysła 08deb4d9-5e12-2ba3-d377-8b0001207d1b-wiadomosc.pdf;.pdf;33074;1083;False
RIN.271.1.3.2026 dach gminy/ottwwwarcciee/offertyy/wezw do złożenia ośw/wezwanie do złożenia dokumentów potw spełnienie warunków udziału dGR.pdf;.pdf;828973;1;True
RIN.271.1.3.2026 dach gminy/potw info wyb ofert 08deb7cb-7b62-c403-d377-8b000123035c-wiadomosc.pdf;.pdf;36165;2033;True
RIN.271.1.3.2026 dach gminy/umowa.rin.3.2026/Umowa RIN.271.1.3.2026 rdBG.docx;.docx;88922;66013;True
RIN.271.1.3.2026 dach gminy/umowa.rin.3.2026/art 56 ust 2 oświad w przed podpisniem umowy dach.docx;.docx;17909;10792;True
RIN.271.1.3.2026 dach gminy/umowa.rin.3.2026/do umowy/2026 Zaswiadczenie PIIB Wiesław Wałęga.pdf;.pdf;86475;12429;True
RIN.271.1.3.2026 dach gminy/umowa.rin.3.2026/do umowy/HARMONOGRAM.pdf;.pdf;286829;379;True
RIN.271.1.3.2026 dach gminy/umowa.rin.3.2026/do umowy/Kosztorys ofertowy.pdf;.pdf;293946;2853;True
RIN.271.1.3.2026 dach gminy/umowa.rin.3.2026/do umowy/Potwierdzenie_transakcji_nr_0239298003_280526-zabezpieczenie.pdf;.pdf;54383;1582;True
RIN.271.1.3.2026 dach gminy/umowa.rin.3.2026/do umowy/Uprawnienia Wiesław Wałęga.pdf;.pdf;2386605;2;True
RIN.271.1.3.2026 dach gminy/umowa.rin.3.2026/ogł o wyniku post 08debf9b-2da8-b4cf-4b6e-b700012345a8.pdf;.pdf;65432;6041;True
