plik;ext;bytes;text_chars;relevant_name
RIN.271.1.4.2026 ubezpieczenia/OGŁOSZENIE O ZAMÓWIENIU (1).pdf;.pdf;137751;17808;True
RIN.271.1.4.2026 ubezpieczenia/Załącznik nr 1 do SWZ - OPZ Rymanów 22.04.2026.docx;.docx;243415;176702;True
RIN.271.1.4.2026 ubezpieczenia/do zamieszczenia/SWZ  27.04.2026 Gmina Rymanów.docx;.docx;134602;41951;True
RIN.271.1.4.2026 ubezpieczenia/do zamieszczenia/Załącznik nr 1 do SWZ - OPZ Rymanów 22.04.2026.docx;.docx;241967;175601;True
RIN.271.1.4.2026 ubezpieczenia/do zamieszczenia/Załącznik nr 2  - Formularz oferty Rymanów poprawka.docx;.docx;269605;8680;True
RIN.271.1.4.2026 ubezpieczenia/do zamieszczenia/Załącznik nr 3 - Zaświadczenie o spełnianiu warunków udziału w postępowaniu i niepodleganiu wykluczeniu (4).docx;.docx;251165;2594;False
RIN.271.1.4.2026 ubezpieczenia/do zamieszczenia/Załącznik nr 4a- Wzór umowy cz I Gmina Rymanów.docx;.docx;264240;16889;True
RIN.271.1.4.2026 ubezpieczenia/do zamieszczenia/Załącznik nr 4b - część II - Wzór umowy- Gmina Rymanów.docx;.docx;263489;16492;True
RIN.271.1.4.2026 ubezpieczenia/do zamieszczenia/Załącznik nr 5 - Oświadczenie o grupie kapitałowej (11).docx;.docx;248734;1188;True
RIN.271.1.4.2026 ubezpieczenia/do zamieszczenia/Załącznik nr 6 - Wniosek o udostępnienie części poufnej.docx;.docx;251556;2177;True
RIN.271.1.4.2026 ubezpieczenia/do zamieszczenia/zał. wykaz mienia.xlsx;.xlsx;1669166;177542;False
RIN.271.1.4.2026 ubezpieczenia/korekta/Szacunek wartosci zamowienia 3+1, 2 zęsci.pdf;.pdf;338408;5740;False
RIN.271.1.4.2026 ubezpieczenia/korekta/Załącznik nr 1 do SWZ - OPZ Rymanów 22.04.2026.docx;.docx;241967;175601;True
RIN.271.1.4.2026 ubezpieczenia/korekta/wzór pełnomocnictwa pełnomocnik.docx;.docx;17730;1895;False
RIN.271.1.4.2026 ubezpieczenia/korekta/zał. wykaz mienia.xlsx;.xlsx;1669166;177542;False
RIN.271.1.4.2026 ubezpieczenia/szacunek 3+1 Rymanów.pdf;.pdf;941450;6073;False
RIN.271.1.4.2026 ubezpieczenia/zał. wykaz mienia.xlsx;.xlsx;1667292;177541;False
