plik;ext;bytes;text_chars;relevant_name
RIN.271.1.5.2026 Cyber serwery/1_Protokół w tr podst CS.docx;.docx;43308;29515;True
RIN.271.1.5.2026 Cyber serwery/KOMISJA Z A R Z Ą D Z E N I E NR u.docx;.docx;17911;1341;False
RIN.271.1.5.2026 Cyber serwery/SWZ dostawa.docx;.docx;175416;54750;True
RIN.271.1.5.2026 Cyber serwery/oootttwwwaaarrrccciiiwww/08deb4cb-dcf5-8d4e-d377-8b0001205890-wiadomosc.pdf;.pdf;34003;1110;False
RIN.271.1.5.2026 Cyber serwery/oootttwwwaaarrrccciiiwww/Informacja o kwocie Cyb.pdf;.pdf;505337;1;True
RIN.271.1.5.2026 Cyber serwery/oootttwwwaaarrrccciiiwww/Informacja o kwocie ser.docx;.docx;187631;912;True
RIN.271.1.5.2026 Cyber serwery/oootttwwwaaarrrccciiiwww/Informacja o unieważnieniu postępowania CS.pdf;.pdf;666799;1;True
RIN.271.1.5.2026 Cyber serwery/oootttwwwaaarrrccciiiwww/Informacja z otwarcia ofert CS.pdf;.pdf;600575;1;True
RIN.271.1.5.2026 Cyber serwery/oootttwwwaaarrrccciiiwww/Raport_z_przebiegu_otwarcia_ofert (20).pdf;.pdf;81424;5939;True
RIN.271.1.5.2026 Cyber serwery/oootttwwwaaarrrccciiiwww/offfffrty/5_DYSP ZWROTU WADIUM CS.docx;.docx;16860;1155;True
RIN.271.1.5.2026 Cyber serwery/oootttwwwaaarrrccciiiwww/offfffrty/Informacja o unieważnieniu postępowania CS.docx;.docx;189567;1659;True
RIN.271.1.5.2026 Cyber serwery/oootttwwwaaarrrccciiiwww/offfffrty/Informacja z otwarcia ofert CS.docx;.docx;189165;1318;True
RIN.271.1.5.2026 Cyber serwery/oootttwwwaaarrrccciiiwww/offfffrty/Informacja_z_otwarcia_ofert (24).docx;.docx;40251;882;True
RIN.271.1.5.2026 Cyber serwery/oootttwwwaaarrrccciiiwww/offfffrty/Roboczy_plik_xml.xml;.xml;3815;3788;False
RIN.271.1.5.2026 Cyber serwery/oootttwwwaaarrrccciiiwww/offfffrty/informacja_do_prezesa.xml;.xml;5482;5454;True
RIN.271.1.5.2026 Cyber serwery/oootttwwwaaarrrccciiiwww/ogł o wyn post uniewaz 08deb4cc-8520-a629-4b6e-b7000122ca7f.pdf;.pdf;52591;4959;False
RIN.271.1.5.2026 Cyber serwery/wadium/wadium JT.pdf;.pdf;379717;2330;True
RIN.271.1.5.2026 Cyber serwery/wszecie cyberbezpieczny samorzad .docx;.docx;24815;4218;False
