plik;ext;bytes;text_chars;relevant_name
RIN.271.1.6.2026 Cyber Serw 2/1_Protokół w tr podst CS.docx;.docx;43275;29632;True
RIN.271.1.6.2026 Cyber Serw 2/KOMISJA Z A R Z Ą D Z E N I E NR u.docx;.docx;17941;1341;False
RIN.271.1.6.2026 Cyber Serw 2/SWZ dostawa 2.docx;.docx;175569;54753;True
RIN.271.1.6.2026 Cyber Serw 2/ogl o wyniku 08dec848-ce86-a76d-4b6e-b7000123b26c.pdf;.pdf;68696;6655;True
RIN.271.1.6.2026 Cyber Serw 2/otwarcieeee/5_DYSP ZWROTU WADIUMcs.docx;.docx;20310;2326;True
RIN.271.1.6.2026 Cyber Serw 2/otwarcieeee/Informacja o kwocie ser 2.docx;.docx;187552;916;True
RIN.271.1.6.2026 Cyber Serw 2/otwarcieeee/Informacja o wyborze oferty cs2.docx;.docx;191875;2353;True
RIN.271.1.6.2026 Cyber Serw 2/otwarcieeee/Informacja o wyborze oferty cs2.pdf;.pdf;437049;4093;True
RIN.271.1.6.2026 Cyber Serw 2/otwarcieeee/Informacja z otwarcia ofert CS 2.docx;.docx;189914;1518;True
RIN.271.1.6.2026 Cyber Serw 2/otwarcieeee/Informacja z otwarcia ofert CS 2.pdf;.pdf;430625;2283;True
RIN.271.1.6.2026 Cyber Serw 2/otwarcieeee/informacja o kwocie cb2.pdf;.pdf;465371;1;True
RIN.271.1.6.2026 Cyber Serw 2/otwarcieeee/oferty/1/Raport_20260603112838559.pdf;.pdf;106069;55555;True
RIN.271.1.6.2026 Cyber Serw 2/otwarcieeee/oferty/1/odp na wezw/08dec15d-5b52-9ce5-d377-8b0001bdf18d-wiadomosc.pdf;.pdf;34373;1149;True
RIN.271.1.6.2026 Cyber Serw 2/otwarcieeee/oferty/1/odp na wezw/Załącznik nr 3 do SWZ - Grupa kapitałowa 2.pdf;.pdf;415816;2680;True
RIN.271.1.6.2026 Cyber Serw 2/otwarcieeee/oferty/1/potw wysłania wezwania 08dec159-1fff-8add-d377-8b0001bde506-wiadomosc.pdf;.pdf;34170;1093;True
RIN.271.1.6.2026 Cyber Serw 2/otwarcieeee/oferty/2/udost dokumentów/08dec157-26a5-4567-d377-8b0001bddf6b-wiadomosc.pdf;.pdf;32838;1043;True
RIN.271.1.6.2026 Cyber Serw 2/otwarcieeee/oferty/2/udost dokumentów/Gmina-Rymanów_wniosek-o-wgląd.pdf;.pdf;334293;1651;True
RIN.271.1.6.2026 Cyber Serw 2/otwarcieeee/oferty/2/udost dokumentów/Pismo przewodnie odp na wniosek udost dok.docx;.docx;189356;1054;True
RIN.271.1.6.2026 Cyber Serw 2/otwarcieeee/oferty/2/udost dokumentów/odp/08dec157-26a5-4567-d377-8b0001bddf6b-wiadomosc.pdf;.pdf;32838;1043;True
RIN.271.1.6.2026 Cyber Serw 2/otwarcieeee/oferty/2/udost dokumentów/odp/Gmina-Rymanów_wniosek-o-wgląd.pdf;.pdf;334293;1651;True
RIN.271.1.6.2026 Cyber Serw 2/otwarcieeee/oferty/2/udost dokumentów/potw udostępnienia ofert 08dec166-2328-334f-d377-8b0001be0c39-wiadomosc.pdf;.pdf;32718;1042;True
RIN.271.1.6.2026 Cyber Serw 2/otwarcieeee/oferty/Raport_z_przebiegu_otwarcia_ofert (21).pdf;.pdf;146356;12555;True
RIN.271.1.6.2026 Cyber Serw 2/otwarcieeee/oferty/Roboczy_plik_xml.xml;.xml;3814;3787;True
RIN.271.1.6.2026 Cyber Serw 2/otwarcieeee/oferty/informacja_do_prezesa.xml;.xml;5878;5849;True
RIN.271.1.6.2026 Cyber Serw 2/otwarcieeee/oferty/wezwanie do złożenia oświadczeń cs2.docx;.docx;189520;1979;True
RIN.271.1.6.2026 Cyber Serw 2/otwarcieeee/oferty/wezwanie do złożenia oświadczeń cs2.pdf;.pdf;423144;2752;True
RIN.271.1.6.2026 Cyber Serw 2/otwarcieeee/potw wysł wyb oferty 08dec16c-e5fd-1e3b-d377-8b0001be20bf-wiadomosc.pdf;.pdf;34005;1163;True
RIN.271.1.6.2026 Cyber Serw 2/pytania/08debcab-4a70-7f23-d377-8b0001268191-wiadomosc.pdf;.pdf;32799;858;False
RIN.271.1.6.2026 Cyber Serw 2/pytania/1_Pytania i udzielone odpowiedzi cbs.docx;.docx;198233;15272;True
RIN.271.1.6.2026 Cyber Serw 2/pytania/1_zmiana_SWZ cbs.docx;.docx;40125;1408;True
RIN.271.1.6.2026 Cyber Serw 2/pytania/ODPOWIEDZI NA PYTANIA WYKONAWCY AI.docx;.docx;16469;4234;True
RIN.271.1.6.2026 Cyber Serw 2/pytania/odp cyberbezpieczny samorzad__.docx;.docx;144727;14663;False
RIN.271.1.6.2026 Cyber Serw 2/pytania/pytania do zamawiającego.pdf;.pdf;135811;10749;False
RIN.271.1.6.2026 Cyber Serw 2/pytania/zmiana ogł 08debd4d-bd47-7478-4b6e-b70001233a13.pdf;.pdf;36820;1871;True
RIN.271.1.6.2026 Cyber Serw 2/umowa do podpis/Raport_20260611130822599.pdf;.pdf;74641;6414;True
RIN.271.1.6.2026 Cyber Serw 2/umowa do podpis/Umowa RIN.272.1.6.20226 z dn.9.06 serwCS.docx;.docx;157043;23302;True
RIN.271.1.6.2026 Cyber Serw 2/umowa do podpis/Umowa RIN.272.1.6.20226 z dn.9.06 serwCS.pdf;.pdf;615665;29925;True
RIN.271.1.6.2026 Cyber Serw 2/wadia/WADIUM STIMO.pdf;.pdf;378282;2329;True
RIN.271.1.6.2026 Cyber Serw 2/wadia/wadium systems.pdf;.pdf;400889;2312;True
