plik;ext;bytes;text_chars;relevant_name
RIN.271.1.8.2026 woda Bzianka 2/1_Protokół w tr podst woda Bzianka 2.docx;.docx;45971;32144;True
RIN.271.1.8.2026 woda Bzianka 2/4_Info - wybór oferty RIN.271.1.8.2026 woda Bzianka 2.docx;.docx;100570;8070;True
RIN.271.1.8.2026 woda Bzianka 2/5_DYSP ZWROTU WADIUM woda Bzianka 2.docx;.docx;60951;16797;True
RIN.271.1.8.2026 woda Bzianka 2/KOMISJA Z A R Z Ą D Z E N I E NR Bzianka 2.docx;.docx;17873;1254;False
RIN.271.1.8.2026 woda Bzianka 2/Kryterium oceny ofert woda Bzianka 2.xlsx;.xlsx;21734;4747;True
RIN.271.1.8.2026 woda Bzianka 2/PYTANIA/Pyt 1/1_Pytania i udzielone odpowiedzi wB2.docx;.docx;93498;3003;True
RIN.271.1.8.2026 woda Bzianka 2/PYTANIA/Pyt 2/2_Pytania i udzielone odpowiedzi wB2.docx;.docx;92957;2416;True
RIN.271.1.8.2026 woda Bzianka 2/SWZ woda Bzianka_2.docx;.docx;103565;80849;True
RIN.271.1.8.2026 woda Bzianka 2/art 56 ust 2 oświad w przed podpisniem umowy woda Bzianka 2.docx;.docx;17900;10762;True
RIN.271.1.8.2026 woda Bzianka 2/bzianka 2/wniosek2.docx;.docx;21555;6485;True
RIN.271.1.8.2026 woda Bzianka 2/kosztorys ofertowy wrazz ofertą.docx;.docx;30164;15140;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/3_Info o kwocie wB2.docx;.docx;92710;900;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/3_Infoa z OTWARCIA wB2.docx;.docx;92571;2935;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/4_Wezwanie - do złożenia oświadczeń wB2.docx;.docx;94440;3479;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/Informacja o kwocie wB2.pdf;.pdf;461771;1;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/Informacja_z_otwarcia_ofert (28).docx;.docx;41345;2149;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/Offertyy/raz niska cena/10_wezwanie r_n_c do FORTIS.docx;.docx;95461;5009;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/Offertyy/raz niska cena/1_wezwanie r_n_c do INKO.docx;.docx;95611;5577;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/Offertyy/raz niska cena/2_wezwanie r_n_c do ROLWOD.docx;.docx;95669;5563;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/Offertyy/raz niska cena/3_wezwanie r_n_c do MULTIKOP.docx;.docx;95458;5378;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/Offertyy/raz niska cena/4_wezwanie r_n_c do PRID.docx;.docx;95423;5414;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/Offertyy/raz niska cena/5_wezwanie r_n_c do WELKO.docx;.docx;95412;5387;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/Offertyy/raz niska cena/6_wezwanie r_n_c do FALGER.docx;.docx;95599;5307;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/Offertyy/raz niska cena/7_wezwanie r_n_c do KWIEK.docx;.docx;95358;5009;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/Offertyy/raz niska cena/8_wezwanie r_n_c do LISBUD.docx;.docx;95446;5016;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/Offertyy/raz niska cena/9_wezwanie r_n_c do NIEDZIALEK.docx;.docx;95454;5008;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/Offertyy/raz niska cena/NOTATKA.docx;.docx;23623;9251;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/Offertyy/raz niska cena/WEZWANIE DO ZŁOŻENIA WYJAŚNIEŃ DOTYCZĄCYCH RAŻĄCO NISKIEJ CENY.docx;.docx;19140;5388;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/Offertyy/raz niska cena/inko.docx;.docx;19500;7207;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/Offertyy/wezwanie do uzupełnienia/12_wezwanie_POLMAD.pdf;.pdf;1177276;2;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/Offertyy/wezwanie do uzupełnienia/odp/08df0429-552e-e41d-c531-77000197b431-wiadomosc.pdf;.pdf;33917;1178;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/Offertyy/wezwanie do uzupełnienia/odp/Zał nr 2 do SWZ oswiadczenia-wykonawcy-wykonawcow-z-art-125-ust-1-ustawy-Pzp (1).pdf;.pdf;226790;6529;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/Offertyy/wezwanie do uzupełnienia/wezw Polmad 08df041c-b533-00b3-c531-770001979918-wiadomosc.pdf;.pdf;33554;1054;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/Offertyy/wezwanie do uzupełnienia/wezwanie do uzupełnienia Polmad.docx;.docx;89700;2920;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/Offertyy/wezwanieFalger/08df07e9-899a-021b-f222-b00001f8d22c-wiadomosc.pdf;.pdf;33510;1187;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/Offertyy/wybór oferty/NOTATKA SŁUŻBOWA do wniosku Kwieka.docx;.docx;17821;3371;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/Offertyy/wybór oferty/NOTATKA SŁUŻBOWA do wniosku ROLWOD i KWIEK.docx;.docx;21565;9750;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/Offertyy/wybór oferty/Ocena wyjaśnień dotyczących rażąco niskiej ceny wodociąg Bzianka 2.docx;.docx;35851;40865;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/Offertyy/wybór oferty/UZASADNIENIE PONOWNEJ ANALIZY WYJAŚNIEŃ DOTYCZĄCYCH RAŻĄCO NISKIEJ CENY.docx;.docx;26514;19326;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/Raport_z_przebiegu_otwarcia_ofert (23).pdf;.pdf;394305;45407;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/Roboczy_plik_xml.xml;.xml;10221;10143;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/info o wyborze wB2.docx;.docx;22415;7136;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/informacja_do_prezesa.xml;.xml;10741;10657;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/waadium/wadium Głowik.pdf;.pdf;376188;1890;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/waadium/wadium PRID.pdf;.pdf;999753;2242;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/waadium/wadium Polmad.pdf;.pdf;385541;1903;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/waadium/wadium Skołyszyn.pdf;.pdf;375069;1873;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/waadium/wadium multikop.pdf;.pdf;375394;1885;True
RIN.271.1.8.2026 woda Bzianka 2/otwarcieeeiiee/zawiadomienie o wybo rze i odrzuceniu wB2.docx;.docx;21767;8274;True
RIN.271.1.8.2026 woda Bzianka 2/potw wysłania powiadomienia wybór ofert 08df0ce5-66fd-c7fa-f222-b00001fbffbc-wiadomosc (1).pdf;.pdf;37597;2619;True
RIN.271.1.8.2026 woda Bzianka 2/umowaWo/Gwarancja_920070234116 (1).pdf;.pdf;260270;9382;True
RIN.271.1.8.2026 woda Bzianka 2/umowaWo/umowa RIN.272.1.8.2026 woda B2.docx;.docx;90681;67527;True
