plik;ext;bytes;text_chars;relevant_name
RIN.271.1.9.2026 oświetlenie/1_Protokół w tr podst oświetlenie.docx;.docx;44412;29862;True
RIN.271.1.9.2026 oświetlenie/4_Info - wybór oferty oświetlenie.docx;.docx;97032;3409;True
RIN.271.1.9.2026 oświetlenie/4_Wezwanie - do złożenia oświadczeń oświetleni EKOSERWIS.docx;.docx;97255;6120;True
RIN.271.1.9.2026 oświetlenie/5_DYSP ZWROTU WADIUM oświetlenie.docx;.docx;25462;4113;True
RIN.271.1.9.2026 oświetlenie/OttttWarcie/2_art 56 ust 3 oświad w przed dniem otwarcia ofert ośw.docx;.docx;17103;6949;True
RIN.271.1.9.2026 oświetlenie/OttttWarcie/3_Info o kwocie.docx;.docx;92729;887;False
RIN.271.1.9.2026 oświetlenie/OttttWarcie/3_Infoa z OTWARCIA ośw.docx;.docx;91500;1661;True
RIN.271.1.9.2026 oświetlenie/OttttWarcie/Informacja o kwocie Ośw.pdf;.pdf;454049;1;True
RIN.271.1.9.2026 oświetlenie/OttttWarcie/Informacja o wyborze oferty ośw.pdf;.pdf;1739794;3;True
RIN.271.1.9.2026 oświetlenie/OttttWarcie/Informacja z otwarcia ofert ośw.pdf;.pdf;641292;1;True
RIN.271.1.9.2026 oświetlenie/OttttWarcie/NOTATKA SŁUŻBOWA przed wezwaniem o ośw.docx;.docx;19839;7529;True
RIN.271.1.9.2026 oświetlenie/OttttWarcie/Raport_z_przebiegu_otwarcia_ofert (24) (1).pdf;.pdf;210740;21124;True
RIN.271.1.9.2026 oświetlenie/OttttWarcie/Roboczy_plik_xml (1).xml;.xml;4989;4960;False
RIN.271.1.9.2026 oświetlenie/OttttWarcie/inf o wysl wybór 08df13e9-b013-44bd-f222-b000010088a6-wiadomosc.pdf;.pdf;38090;1334;True
RIN.271.1.9.2026 oświetlenie/OttttWarcie/informacja_do_prezesa.xml;.xml;6802;6770;True
RIN.271.1.9.2026 oświetlenie/OttttWarcie/kryterium oceny ofert ośw.xlsx;.xlsx;20209;2060;True
RIN.271.1.9.2026 oświetlenie/OttttWarcie/otwarcdoferty/SrodPrzedmiot/Analiza ofert.pdf;.pdf;226671;9517;True
RIN.271.1.9.2026 oświetlenie/OttttWarcie/otwarcdoferty/SrodPrzedmiot/Zestawienie ofert - analiza ocena.xlsx;.xlsx;15267;3294;True
RIN.271.1.9.2026 oświetlenie/OttttWarcie/otwarcdoferty/srDowPodm/08df12ee-66e2-4f46-f222-b00001ff733d-wiadomosc.pdf;.pdf;32906;960;True
RIN.271.1.9.2026 oświetlenie/OttttWarcie/otwarcdoferty/srDowPodm/wezwanie do złożenia podm śr. dow EKOSERWIS.pdf;.pdf;2240172;3;True
RIN.271.1.9.2026 oświetlenie/OttttWarcie/otwarcdoferty/wezwanie o wyjaśnienie/08df0cd2-ebe3-0b0e-f222-b00001fbd7e2-wiadomosc (1).pdf;.pdf;32800;964;True
RIN.271.1.9.2026 oświetlenie/OttttWarcie/otwarcdoferty/wezwanie o wyjaśnienie/NOTATKA do odpowiedz na wezwania EKOSERWIS.docx;.docx;18562;4397;True
RIN.271.1.9.2026 oświetlenie/OttttWarcie/otwarcdoferty/wezwanie o wyjaśnienie/NOTATKA do wezwania.docx;.docx;17987;3830;True
RIN.271.1.9.2026 oświetlenie/OttttWarcie/otwarcdoferty/wezwanie o wyjaśnienie/odpNaWezw/08df0de5-018f-5e03-f222-b00001fcb7f0-wiadomosc (1).pdf;.pdf;33151;974;True
RIN.271.1.9.2026 oświetlenie/OttttWarcie/otwarcdoferty/wezwanie o wyjaśnienie/odpNaWezw/Odpowiedz na wezwanie z 07.09.2026 (1).pdf;.pdf;441595;2638;True
RIN.271.1.9.2026 oświetlenie/OttttWarcie/otwarcdoferty/wezwanie o wyjaśnienie/wezwanie do złożenia wyjaśnień dot treści oferty.docx;.docx;94323;4629;True
RIN.271.1.9.2026 oświetlenie/OttttWarcie/otwarcdoferty/wezwanie o wyjaśnienie/wezwanie do złożenia wyjaśnień dot treści oferty.pdf;.pdf;1542239;2;True
RIN.271.1.9.2026 oświetlenie/Pytania/1_Pyt/08df01d6-9a06-df67-c531-77000195d32c-wiadomosc.pdf;.pdf;37155;3962;False
RIN.271.1.9.2026 oświetlenie/Pytania/1_Pyt/1_Pytania i udzielone odpowiedzi Ośw.docx;.docx;93734;3746;True
RIN.271.1.9.2026 oświetlenie/Pytania/1_Pyt/1_Pytania i udzielone odpowiedzi.pdf;.pdf;1328388;2;True
RIN.271.1.9.2026 oświetlenie/Pytania/1_Pyt/AGRA_Słupy Kompozytowe_Atuty  Zalety.pdf;.pdf;133752;2995;False
RIN.271.1.9.2026 oświetlenie/Pytania/1_Pyt/KARTA-GWARANCYJNA-SLUPY.pdf;.pdf;401404;4085;False
RIN.271.1.9.2026 oświetlenie/Pytania/2_Pyt/08df04da-3999-5895-f222-b00001f79de7-wiadomosc.pdf;.pdf;32613;874;False
RIN.271.1.9.2026 oświetlenie/Pytania/2_Pyt/2_Pytania i udzielone odpowiedzi Ośw.docx;.docx;94640;4657;True
RIN.271.1.9.2026 oświetlenie/Pytania/2_Pyt/2_Pytania i udzielone odpowiedzi.pdf;.pdf;1533504;2;True
